素材名,发布Date,发布平台,发布状态,备注,实际发布Date,实际已发布平台,视频类型
"kevin 0318_coco线下活动现场视频 ",2026/04/20,"YouTube, 小红书, 视频号",已完成,,2026/04/20,,长视频
" Charlie 0318_coco线下活动现场视频 ",2026/04/20,"YouTube, 小红书, 视频号",已完成,,2026/04/20,,长视频
0331_Charlie和vivi podcast Charlie和vivi podcast,2026/04/21,"YouTube, 小红书, 视频号",已完成,,,,长视频
" 0407katherine 的podcas",2026/04/21,"YouTube, 小红书, 视频号",已完成,,2026/04/21,,长视频
0326_charlie直播视频 十年OG解读Crypto周期、AI与Web3终局(1),2026/04/22,"YouTube, 小红书, 视频号",已完成,,2026/04/22,,长视频
314_Uweb直播课 十年OG解读Crypto周期、AI与Web3终局,2026/04/22,"YouTube, 小红书, 视频号",已完成,,2026/04/22,,长视频
0407katherine 的podcast,2026/04/23,"YouTube, 小红书, 视频号",已完成,,2026/04/23,,长视频
"0414_BTV的直播视频17分钟 ",2026/04/23,"YouTube, 小红书, 视频号",已完成,,2026/04/23,,长视频
" 0414_499 ",2026/04/24,"YouTube, 小红书, 视频号",已完成,,2026/04/24,,长视频
" 切片2 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/20,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片3 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/21,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片4 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/21,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片5 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/22,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片6 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/22,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片7 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/23,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片8 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/23,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片9 0331_Charlie和vivi podcast Charlie和vivi podcast",2026/04/24,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片1 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/24,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片2 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/25,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片3 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/25,"YouTube, 小红书, 视频号",已完成,,,,视频切片
" 切片4 0329_法国龙虾分享会 法国线下龙虾线上分享会",2026/04/26,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片1 0407katherine 的podcast,2026/04/26,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片2 0407katherine 的podcast,2026/04/27,"YouTube, 小红书, 视频号",已完成,,,,视频切片
切片3 0407katherine 的podcast,2026/04/27,"YouTube, 小红书, 推特, 视频号",已完成,,,,视频切片
