案例名称,一句话介绍,优先级,剪辑脚本,发布平台,品类,开始日期,成片,状态,结束日期,预计交付日期
COCO界面展示,展示coco界面如聊天窗口，skill界面相关skill以及展示支持的多项平台,1,COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/coco%E5%8A%9F%E8%83%BD%E5%B1%95%E7%A4%BA%E5%89%AA%E8%BE%91%E8%84%9A%E6%9C%AC.docx,"linkedin, twitter, youtube, 小红书, 视频号",功能展示,"May 25, 2026","COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/%E8%8B%B1%E6%96%87.mp4, COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/%E4%B8%AD%E6%96%87.mp4",已完成,"June 2, 2026","May 30, 2026"
COCO对lark进行操作,通过coco后台设定lark每日推送汇报，以及在lark和coco员工互动总结信息,2,COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/COCO_Lark%E5%AE%A3%E4%BC%A0%E7%89%87%E6%A1%88%E4%BE%8B%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91%E8%84%9A%E6%9C%AC.docx,"linkedin, twitter, youtube, 小红书, 视频号",案例展示,"May 26, 2026","COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/%E8%8B%B1%E6%96%87%E7%89%88%E6%9C%80%E6%9C%80%E6%9C%80%E7%BB%88.mp4, COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/%E5%85%A8%E4%B8%AD%E6%96%87%E6%9C%80%E7%BB%88%E6%88%90%E7%89%87).mp4",已完成,"June 2, 2026","May 30, 2026"
Josh亲身讲述coco使用感受,Josh团队三个月工作量coco一周完成,2,COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/%E5%89%AA%E8%BE%91%E8%84%9A%E6%9C%AC.docx,"小红书, 视频号",白人使用感受,"May 27, 2026",COCO%20Demo%E6%BC%94%E7%A4%BA%E3%80%81Use%20Case%E3%80%81%E5%9F%BA%E7%A1%80%E8%A7%86%E9%A2%91%E5%89%AA%E8%BE%91/%E6%88%90%E7%89%87%E4%B8%AD%E6%96%87%E7%89%88.mp4,已完成,"May 29, 2026","May 29, 2026"
产品介绍片（2-3分钟）英文版,"开头10秒：痛点切入——""你的团队每天有多少时间浪费在重复工作上？""
• COCO是什么：一句话定位——""AI数字员工，在飞书/Teams里帮你干活""
• 和ChatGPT的区别（30秒讲清楚）
• 3个核心卖点：记忆力 / 多渠道 / 定时任务
• 价格一句话带过（$99起）
• 结尾CTA：扫码试用 / 联系销售
风格：视频风格和首页我想专业一点，感觉是那种安静娓娓道来。",1,,,产品介绍,,,已完成,,"June 11, 2026"
电商公司客户使用场景,模拟客户使用场景， 工作流的打通，每个行业添加行业的风格，用分享的方式娓娓道来。,5,,,案例展示,,,待COCO团队提供案例语料,,"June 1, 2026"
物流客户使用场景,模拟客户使用场景， 工作流的打通，每个行业添加行业的风格，用分享的方式娓娓道来。,5,,,案例展示,,,待COCO团队提供案例语料,,"June 1, 2026"
快消客户使用场景,模拟客户使用场景， 工作流的打通，每个行业添加行业的风格，用分享的方式娓娓道来。,5,,,案例展示,,,待COCO团队提供案例语料,,"June 1, 2026"
制造业客户使用场景,模拟客户使用场景， 工作流的打通，每个行业添加行业的风格，用分享的方式娓娓道来。,5,,,案例展示,,,待COCO团队提供案例语料,,"June 1, 2026"
mcn客户使用场景,模拟客户使用场景， 工作流的打通，每个行业添加行业的风格，用分享的方式娓娓道来。,5,,,案例展示,,,待COCO团队提供案例语料,,"June 1, 2026"
AI员工日常,今天公司两个部门的ai agent互相对接了什么？,5,,,案例展示,,,未开始,,"June 1, 2026"
新场景/新玩法,适合持续更新,5,,,案例展示,,,未开始,,"June 1, 2026"
创始人/团队介绍,"中国客户买SaaS很看重""团队靠不靠谱""
• 创始人出镜讲：为什么做这个产品、愿景、团队背景",5,,,创始团队介绍,,,待COCO团队提供案例语料,,"June 1, 2026"
安全与隐私说明,中国企业客户非常关心数据安全，讲清楚：端到端加密、数据不训练模型、支持私有部署、新加坡PDPA合规,5,,,安全与隐私说明,,,待COCO团队提供案例语料,,"June 1, 2026"
Tiger视频2,Tiger提供视频素材我们进行二次处理，做成中文英文两个版本,1,,,案例展示,,,已完成,,"June 10, 2026"
和Paolo的直播视频切片,Charlie和前美元VC投资人的直播视频,1,,,基础视频,,,已完成,,"June 15, 2026"
Tiger视频3,Tiger提供视频素材我们进行二次处理，做成中文英文两个版本,2,,,基础视频,,,已完成,,"June 15, 2026"
产品介绍片（2-3分钟）中文版,"开头10秒：痛点切入——""你的团队每天有多少时间浪费在重复工作上？""
- COCO是什么：一句话定位——""AI数字员工，在飞书/Teams里帮你干活""
- 和ChatGPT的区别（30秒讲清楚）
- 3个核心卖点：记忆力 / 多渠道 / 定时任务
- 价格一句话带过（$99起）
- 结尾CTA：扫码试用 / 联系销售

风格：视频风格和首页我想专业一点，感觉是那种安静娓娓道来。",1,,,产品介绍,,,已完成,,"June 12, 2026"
VIP dinner,对COCO X Width 在SuperAI开幕当晚举办的VIP dinner的总结视频,2,,,基础视频,,,已完成,,"June 11, 2026"
Alex广州活动,广州国际建筑电气技术展览会主题演讲,2,,,基础视频,,,已完成,,"June 15, 2026"
知外文化客户使用案例1,通过展示知外文化客户使用案例，体现COCO多agent协作核心卖点,1,,,案例展示,,,已完成,,"June 17, 2026"
知外文化客户使用案例2,"一个人 + 26个会自己协作的 AI 员工，在 COCO 上撑起一整家公司——成本只要四分之
一。",1,,,案例展示,,,剪辑中,,"June 1, 2026"
和Nik的podcast,打造创始人IP,2,,,基础视频,,,剪辑中,,"June 26, 2026"
